id,host_id,neighbourhood_cleansed,room_type,latitude,longitude,price_clean,calculated_host_listings_count,availability_365,reviews_per_month,minimum_nights,commercialization_score,operator_type,high_confidence_commercial,signals_fired
443909,2204578,el Barri Gòtic,Private room,41.37733,2.17651,35.0,1,133,2.35,31,17.3,medium_term_room_rental,0,0
449854,1267680,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.38734,2.18018,,4,153,1.57,4,48.5,commercial,0,1
449999,1267680,la Dreta de l'Eixample,Entire home/apt,41.38946,2.17593,164.0,4,240,0.89,4,53.3,commercial,1,2
451758,1267680,el Raval,Entire home/apt,41.38139,2.16692,127.0,4,238,1.51,4,53.2,commercial,1,2
457195,1405013,la Dreta de l'Eixample,Entire home/apt,41.39195,2.1714,359.0,14,209,0.69,2,52.2,commercial,1,2
462062,16569867,la Nova Esquerra de l'Eixample,Private room,41.37850578093848,2.151792572674604,119.0,1,79,1.24,3,14.3,casual,0,0
469157,340570,el Barri Gòtic,Entire home/apt,41.38046,2.17822,177.0,2,302,0.25,31,56.6,medium_term_home_rental,1,2
469177,1432835,el Poble Sec,Entire home/apt,41.37501,2.16009,258.0,43,24,2.25,3,43.7,commercial,0,1
469710,1995385,la Dreta de l'Eixample,Entire home/apt,41.396084,2.168906,134.0,3,185,1.31,2,50.2,commercial,1,2
472062,2337603,la Vila de Gràcia,Entire home/apt,41.39822,2.16081,203.0,4,327,1.22,4,58.1,commercial,1,2
473395,2337603,Sant Gervasi - Galvany,Entire home/apt,41.39871,2.15292,243.0,4,231,0.81,3,52.8,commercial,1,2
473459,2337603,la Vila de Gràcia,Entire home/apt,41.3990403,2.1527793,225.0,4,310,1.09,4,57.2,commercial,1,2
477256,2365702,el Parc i la Llacuna del Poblenou,Private room,41.40248,2.19668,10.0,2,337,2.13,1,28.5,casual,0,1
481739,2320210,la Dreta de l'Eixample,Entire home/apt,41.39696,2.16652,188.0,40,90,1.31,1,47.2,commercial,0,1
487233,6907539,el Poble Sec,Entire home/apt,41.37243,2.16542,247.0,2,157,2.23,5,48.6,commercial,0,1
490517,2320210,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,41.40385,2.1691,164.0,40,88,1.04,1,47.1,commercial,0,1
490803,2320210,la Sagrada Família,Entire home/apt,41.40347,2.17157,225.0,40,92,1.49,1,47.3,commercial,0,1
493122,2365702,el Parc i la Llacuna del Poblenou,Private room,41.4016,2.19424,72.0,2,313,2.13,5,27.2,casual,0,1
498416,1310304,el Barri Gòtic,Entire home/apt,41.38355,2.17156,,47,264,0.09,32,57.1,medium_term_home_rental,1,2
502436,2262273,el Barri Gòtic,Entire home/apt,41.37948,2.17666,,31,365,0.05,32,61.8,medium_term_home_rental,1,2
503765,2484443,la Dreta de l'Eixample,Entire home/apt,41.39795,2.17166,182.0,1,130,1.96,5,47.1,commercial,0,1
504657,1447144,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,41.38467,2.18016,208.0,413,365,0.03,2,84.1,commercial,1,3
507667,2176121,el Fort Pienc,Private room,41.39774,2.18218,59.0,2,256,0.58,31,24.1,medium_term_room_rental,0,1
508212,2504689,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.39161,2.15782,197.0,2,148,1.3,6,48.1,commercial,0,1
510923,2517389,el Congrés i els Indians,Entire home/apt,41.42257,2.18047,180.0,2,260,0.26,7,49.3,commercial,1,2
511739,1447144,la Sagrada Família,Entire home/apt,41.40376,2.17292,250.0,413,365,0.04,1,84.1,commercial,1,3
512387,1447144,la Sagrada Família,Entire home/apt,41.40187,2.1729,250.0,413,365,0.02,2,84.1,commercial,1,3
512666,488117,el Raval,Entire home/apt,41.37779,2.16729,218.0,5,266,0.48,6,54.8,commercial,1,2
512737,488117,el Raval,Entire home/apt,41.37701,2.16663,164.0,5,261,0.3,6,54.5,commercial,1,2
513825,1093718,el Fort Pienc,Entire home/apt,41.40012,2.1756,350.0,14,270,0.6,2,55.5,commercial,1,2
517407,1093718,el Fort Pienc,Entire home/apt,41.4003,2.17502,408.0,14,74,1.02,2,44.8,commercial,0,1
519494,2556699,la Vila Olímpica del Poblenou,Entire home/apt,41.39095,2.1964,263.0,1,307,0.38,3,56.8,commercial,1,2
519631,893805,la Dreta de l'Eixample,Entire home/apt,41.39506,2.17308,330.0,12,320,4.66,2,58.2,commercial,1,2
520389,1432835,l'Antiga Esquerra de l'Eixample,Entire home/apt,41.3888,2.15898,239.0,43,87,2.41,3,47.2,commercial,0,1
522705,2570705,la Dreta de l'Eixample,Entire home/apt,41.39646,2.17132,233.0,1,237,1.44,4,53.0,commercial,1,2
528979,2598629,la Vila de Gràcia,Private room,41.39807,2.15483,45.0,3,358,1.02,31,29.7,medium_term_room_rental,0,1
531195,2608724,Sant Antoni,Entire home/apt,41.37535,2.16727,397.0,3,322,6.14,3,57.8,commercial,1,2
534410,2626568,el Fort Pienc,Entire home/apt,41.39877,2.17755,287.0,1,344,1.58,3,58.8,commercial,1,2
534550,2608724,Sant Antoni,Entire home/apt,41.37535,2.16727,336.0,3,300,5.08,3,56.5,commercial,1,2
537176,2638282,Sant Antoni,Entire home/apt,41.38075,2.15804,161.0,1,109,3.79,3,45.9,commercial,0,1
546165,2685251,el Poblenou,Private room,41.39856,2.19701,,1,2,0.56,28,5.1,casual,0,0
548052,1447144,la Sagrada Família,Entire home/apt,41.40263,2.17072,250.0,413,365,0.05,1,84.1,commercial,1,3
548085,1447144,la Sagrada Família,Entire home/apt,41.40213,2.17083,250.0,413,365,0.01,2,84.1,commercial,1,3
556572,2736689,la Sagrada Família,Private room,41.4091495,2.1756861,62.0,1,202,4.62,1,21.0,casual,0,1
558366,2745490,"Sant Pere, Santa Caterina i la Ribera",Private room,41.38361,2.18552,60.0,2,88,0.35,3,14.8,casual,0,0
558886,2747795,la Nova Esquerra de l'Eixample,Entire home/apt,41.38201,2.14828,163.0,2,206,1.79,4,51.3,commercial,1,2
562020,368317,el Raval,Entire home/apt,41.38141,2.16374,65.0,8,257,0.01,32,54.5,medium_term_home_rental,1,2
563971,2773231,Sant Antoni,Entire home/apt,41.37641,2.15895,132.0,1,267,5.74,1,54.6,commercial,1,2
564809,2598629,Sant Gervasi - Galvany,Private room,41.39748,2.15357,45.0,3,362,0.66,31,30.0,medium_term_room_rental,0,1
567962,2794626,la Bordeta,Entire home/apt,41.36886,2.13279,,1,207,0.28,32,51.3,medium_term_home_rental,1,2
568129,2795488,la Nova Esquerra de l'Eixample,Private room,41.38192,2.15563,41.0,2,300,0.75,30,31.5,medium_term_room_rental,0,1
568185,2795488,la Nova Esquerra de l'Eixample,Private room,41.3819,2.15419,39.0,2,349,0.58,30,34.2,medium_term_room_rental,0,1
569610,2700806,Sants,Entire home/apt,41.37518,2.14026,,1,3,0.33,3,40.1,commercial,0,1
572646,265165,la Barceloneta,Entire home/apt,41.37877,2.19063,70.0,3,321,0.51,32,57.7,medium_term_home_rental,1,2
576046,2833463,la Sagrada Família,Private room,41.40315,2.18462,35.0,2,175,0.61,28,14.6,casual,0,0
576550,2320210,la Vila Olímpica del Poblenou,Entire home/apt,41.389347076416016,2.19726300239563,284.0,40,84,0.27,1,46.8,commercial,0,1
578558,2846323,el Fort Pienc,Entire home/apt,41.39696816949049,2.17838731285169,409.0,1,299,0.92,3,56.4,commercial,1,2
582364,2660281,el Putxet i el Farró,Entire home/apt,41.41015,2.14451,263.0,1,183,3.52,2,50.0,commercial,0,1
584348,2879377,el Poblenou,Entire home/apt,41.399,2.2062,228.0,1,172,1.76,3,49.4,commercial,0,1
585762,1405013,la Dreta de l'Eixample,Entire home/apt,41.39401,2.17159,207.0,14,182,1.55,2,50.7,commercial,0,1
588268,2738055,la Sagrada Família,Entire home/apt,41.40275,2.17698,165.0,1,304,2.98,6,56.6,commercial,1,2
588996,2843608,Sant Antoni,Entire home/apt,41.37971,2.1575,162.0,1,111,3.16,3,46.0,commercial,0,1
590503,6057270,la Dreta de l'Eixample,Entire home/apt,41.39987,2.17047,187.0,10,161,3.97,3,49.3,commercial,0,1
594580,2937042,la Vila de Gràcia,Entire home/apt,41.40709,2.15523,268.0,1,324,3.22,1,57.7,commercial,1,2
